Id,Date,Open,High,Low,Close,Volume,SMA (5 days),SMA (10 days),SMA (30 days),Close > SMA5,Close > SMA10,Close > SMA30,SMA 5 > SMA 10,V>Volume Avg,Vol1 > Vol0,Vol1 > Vol0*1.2,SMA 10 > SMA 30,SMA 5>SMA 30,SMA 5 > SMA 10 > SMA 30,Close Higher
69,6/3/2005,105.02,105.33,104.3,104.65,70082917,104.736,104.451,102.5806,1,1,1,0,0,1,1,1,1,0,0
70,6/6/2005,104.55,104.7,104.15,104.56,41705131,104.698,104.53,102.7099333,1,1,1,0,0,0,0,1,1,0,1
71,6/7/2005,104.88,105.63,104.55,104.64,76554832,104.808,104.559,102.8202667,1,1,1,0,0,1,1,1,1,0,0
72,6/8/2005,104.92,105.06,104.25,104.46,57421343,104.704,104.594,102.9569333,1,1,1,0,0,0,0,1,1,0,0
73,6/9/2005,104.31,105.05,104.05,104.96,65622218,104.654,104.687,103.0972667,1,1,1,1,0,1,0,1,1,1,1
74,6/10/2005,105.03,105.1,104.2,104.7,41903028,104.664,104.7,103.271,1,1,1,1,0,0,0,1,1,1,0
75,6/13/2005,104.49,105.48,104.38,105.05,56824332,104.762,104.73,103.4113333,1,1,1,0,0,1,1,1,1,0,1
76,6/14/2005,104.94,105.6,104.87,105.3,39030087,104.894,104.851,103.5413333,1,1,1,0,0,0,0,1,1,0,1
77,6/15/2005,105.56,105.62,104.73,105.49,61861730,105.1,104.902,103.6716667,1,1,1,0,0,1,1,1,1,0,0
78,6/16/2005,105.49,105.97,105.35,105.76,53565469,105.26,104.957,103.7846667,1,1,1,0,0,0,0,1,1,0,1
79,6/17/2005,105.88,106.2,104.97,105.74,61706880,105.468,105.066,103.8983333,1,1,1,0,0,1,0,1,1,0,0
80,6/20/2005,105.48,106.15,105.37,105.76,48482844,105.61,105.186,104.0236667,1,1,1,0,0,0,0,1,1,0,1
81,6/21/2005,105.85,105.98,105.44,105.83,45985268,105.716,105.305,104.13,1,1,1,0,0,0,0,1,1,0,0
82,6/22/2005,106.01,106.22,105.48,105.91,53588199,105.8,105.45,104.2743333,0,1,1,0,0,1,0,1,1,0,0
83,6/23/2005,105.7,105.93,104.4,104.42,72108710,105.532,105.396,104.3503333,1,1,1,0,0,1,1,1,1,0,0
84,6/24/2005,104.44,104.55,103.54,103.65,67944626,105.114,105.291,104.438,1,1,0,1,0,0,0,1,1,1,0
85,6/27/2005,103.64,104.03,103.46,103.8,58730861,104.722,105.166,104.5376667,1,1,0,1,0,0,0,1,1,1,1
86,6/28/2005,104.02,104.74,104,104.65,48919959,104.486,105.101,104.6343333,1,1,1,1,0,0,0,1,0,1,1
87,6/29/2005,104.86,104.89,104.33,104.4,49427561,104.184,104.992,104.7,1,1,0,1,0,1,0,1,0,1,0
88,6/30/2005,104.72,104.81,103.62,103.82,71517780,104.064,104.798,104.711,1,1,0,1,0,1,1,1,0,1,0
89,7/1/2005,104.06,104.37,103.85,104.13,57149525,104.16,104.637,104.718,1,1,0,1,0,0,0,1,0,1,1
90,7/5/2005,104.04,105.1,103.83,104.97,59176127,104.394,104.558,104.758,1,1,1,1,0,1,0,1,0,1,1
91,7/6/2005,104.88,105.1,104.03,104.09,62066971,104.282,104.384,104.7493333,1,1,0,1,0,1,0,1,0,1,0
92,7/7/2005,103.04,104.5,103.03,104.5,118541310,104.302,104.243,104.7623333,1,1,0,0,0,1,1,1,0,0,1
93,7/8/2005,104.52,105.7,104.29,105.7,74097316,104.678,104.371,104.818,1,1,1,0,0,0,0,1,0,0,1
94,7/11/2005,105.71,106.35,105.69,106.22,57133225,105.096,104.628,104.873,1,1,1,0,0,0,0,1,1,0,1
95,7/12/2005,106.19,106.83,105.97,106.49,59885291,105.4,104.897,104.931,1,1,1,0,0,1,0,1,1,0,1
96,7/13/2005,106.5,106.73,106.26,106.65,47405204,105.912,105.097,105.0163333,0,1,1,0,0,0,0,1,1,0,1
97,7/14/2005,107.09,107.55,106.7,107.09,74355821,106.43,105.366,105.0866667,0,1,1,0,0,1,1,1,1,0,0
98,7/15/2005,106.97,107.19,106.58,107.02,64440233,106.694,105.686,105.147,0,1,1,0,0,0,0,1,1,0,1
99,7/18/2005,106.71,106.83,106.31,106.57,65265797,106.764,105.93,105.211,0,0,1,0,0,1,0,1,1,0,0
100,7/19/2005,106.91,107.25,106.63,107.17,68316082,106.9,106.15,105.298,0,0,1,0,0,1,0,1,1,0,1
